block,predicted,actual,n,median_sales_ratio,r,spearmans,cod,prd,prb,clapp,gini,ci,ki,mki,accuracy,uniformity,vertical_equity
All,prediction,GROSSCON,9941,1.0092,0.9488820827990978,0.9230811258389998,12.41771725360062,1.048075594884508,-0.040563617979237146,1.0662172198762956,0.4395610377818057,0.40854920671972916,-0.031011831062076556,0.9294481803515293,TRUE,TRUE,TRUE
28,prediction,GROSSCON,4,,,,,,,,,,,,,,
64,prediction,GROSSCON,7,1.0129,0.9147225178552942,0.9298469387755098,11.611768094913195,1.0568383820091536,-0.045353486141680464,1.1127345466713152,0.38547689439727356,0.3437503309413094,-0.04172656345596415,0.8917533993283638,TRUE,TRUE,TRUE
65,prediction,GROSSCON,7,0.9235,0.5089054714901733,0.41661157024793394,35.95084827290843,1.18847657862614,-0.8085266904408649,1.9263446641467417,0.24418370227006975,0.06008564069206125,-0.1840980615780085,0.24606736704158044,TRUE,FALSE,FALSE
100,prediction,GROSSCON,2,,,,,,,,,,,,,,
107,prediction,GROSSCON,1,,,,,,,,,,,,,,
117,prediction,GROSSCON,17,0.9913,0.945753207385575,0.9053601845012889,4.833043475122714,1.0037049585701912,-0.040785963841940054,1.050795163509979,0.12604956450155397,0.12016340742548086,-0.005886157076073109,0.9533028368693766,TRUE,FALSE,TRUE
132,prediction,GROSSCON,1,,,,,,,,,,,,,,
134,prediction,GROSSCON,6,0.9775,0.8018589496693844,0.7844897959183674,10.452400626881863,1.0259380565902456,-0.35287865167489607,1.6816927984597652,0.1286693957524229,0.06754460392064117,-0.061124791831781725,0.5249469271667834,TRUE,TRUE,TRUE
136,prediction,GROSSCON,3,,,,,,,,,,,,,,
137,prediction,GROSSCON,1,,,,,,,,,,,,,,
140,prediction,GROSSCON,1,,,,,,,,,,,,,,
143,prediction,GROSSCON,4,,,,,,,,,,,,,,
144,prediction,GROSSCON,3,,,,,,,,,,,,,,
146,prediction,GROSSCON,1,,,,,,,,,,,,,,
147,prediction,GROSSCON,1,,,,,,,,,,,,,,
150,prediction,GROSSCON,1,,,,,,,,,,,,,,
161,prediction,GROSSCON,9,0.9557,0.9806720167938376,0.942296918767507,7.314911140360563,1.01818516091568,-0.47492307608909307,1.874987298884866,0.09285161749313708,0.05209247037515515,-0.04075914711798193,0.5610292182471183,TRUE,TRUE,TRUE
172,prediction,GROSSCON,1,,,,,,,,,,,,,,
175,prediction,GROSSCON,1,,,,,,,,,,,,,,
178,prediction,GROSSCON,3,,,,,,,,,,,,,,
179,prediction,GROSSCON,5,,,,,,,,,,,,,,
189,prediction,GROSSCON,4,,,,,,,,,,,,,,
193,prediction,GROSSCON,2,,,,,,,,,,,,,,
210,prediction,GROSSCON,2,,,,,,,,,,,,,,
214,prediction,GROSSCON,1,,,,,,,,,,,,,,
219,prediction,GROSSCON,3,,,,,,,,,,,,,,
220,prediction,GROSSCON,1,,,,,,,,,,,,,,
223,prediction,GROSSCON,1,,,,,,,,,,,,,,
225,prediction,GROSSCON,1,,,,,,,,,,,,,,
229,prediction,GROSSCON,2,,,,,,,,,,,,,,
230,prediction,GROSSCON,1,,,,,,,,,,,,,,
231,prediction,GROSSCON,1,,,,,,,,,,,,,,
232,prediction,GROSSCON,3,,,,,,,,,,,,,,
263,prediction,GROSSCON,24,1.0358,0.8044827649130712,0.7788019239177963,5.29511125574974,1.0074923090508228,-0.10433779194323835,1.0859982724854695,0.10236745025331133,0.07960322282333661,-0.02276422742997472,0.7776224046447971,TRUE,TRUE,TRUE
311,prediction,GROSSCON,36,0.981,0.3876568042083485,0.481548100560369,16.743620730880522,1.0611319649757032,-0.39768029545463407,1.435620854906773,0.17867797363987037,0.09211310468311337,-0.086564868956757,0.5155257965302958,TRUE,FALSE,FALSE
315,prediction,GROSSCON,30,0.9706,0.7225487371131322,0.56550946919575,14.53158068197581,1.0310961154935423,-0.2320372991882654,1.2861705082311357,0.1578857223040385,0.10774502679894814,-0.05014069550509036,0.6824241307359314,TRUE,TRUE,FALSE
321,prediction,GROSSCON,41,1.0551,0.21020491056426396,0.48688112650358123,10.64488427835471,1.0649956657041537,-0.35092757828450644,1.4252618262471928,0.17026052215815993,0.06644509762236894,-0.10381542453579098,0.39025545546398693,TRUE,TRUE,FALSE
331,prediction,GROSSCON,44,1.0293,0.5121646605929185,0.7700642366295505,9.789329531917998,1.0415147645923908,-0.13560363135980183,1.1646691147959052,0.19055260595749116,0.12855526445868437,-0.061997341498806785,0.6746444836727278,TRUE,TRUE,FALSE
348,prediction,GROSSCON,1,,,,,,,,,,,,,,
350,prediction,GROSSCON,1,,,,,,,,,,,,,,
354,prediction,GROSSCON,1,,,,,,,,,,,,,,
355,prediction,GROSSCON,3,,,,,,,,,,,,,,
376,prediction,GROSSCON,1,,,,,,,,,,,,,,
377,prediction,GROSSCON,5,,,,,,,,,,,,,,
386,prediction,GROSSCON,7,0.9975,0.9246413086700285,0.7795454545454543,5.138660083864656,1.0083952731024348,-0.01679185277543841,1.0112984589571055,0.2119976124154397,0.1932737539854385,-0.01872385843000121,0.911678918377113,TRUE,TRUE,TRUE
389,prediction,GROSSCON,11,0.9376,0.9338946895895247,0.8430578512396693,14.888759695462813,1.0367440457986463,-0.1415605241866363,1.126642385855091,0.2340671543542718,0.20330230946097397,-0.030764844893297838,0.8685640239521442,TRUE,TRUE,FALSE
390,prediction,GROSSCON,1,,,,,,,,,,,,,,
391,prediction,GROSSCON,1,,,,,,,,,,,,,,
392,prediction,GROSSCON,1,,,,,,,,,,,,,,
394,prediction,GROSSCON,3,,,,,,,,,,,,,,
396,prediction,GROSSCON,15,0.9941,0.00353377209993771,0.005642762127556401,6.459432417859924,1.0045599764580742,-0.3571525659301336,1.1670274524105497,0.039296401189694546,0.0028629020504737923,-0.036433499139220754,0.0728540518673396,TRUE,TRUE,TRUE
400,prediction,GROSSCON,1,,,,,,,,,,,,,,
401,prediction,GROSSCON,1,,,,,,,,,,,,,,
402,prediction,GROSSCON,2,,,,,,,,,,,,,,
404,prediction,GROSSCON,10,0.9884,0.9885329023500468,0.9999999999999996,6.245642842614666,1.0288500820023927,-0.06029029294386273,1.1218168552209387,0.288054794520548,0.25603095527603636,-0.03202383924451163,0.8888272653200804,TRUE,TRUE,TRUE
406,prediction,GROSSCON,2,,,,,,,,,,,,,,
414,prediction,GROSSCON,1,,,,,,,,,,,,,,
415,prediction,GROSSCON,1,,,,,,,,,,,,,,
419,prediction,GROSSCON,1,,,,,,,,,,,,,,
431,prediction,GROSSCON,14,1.0046,0.8905741132873911,0.7116817714296804,5.84525883004781,1.00962427421509,-0.16635702256242324,1.3261218537362072,0.10144057623049209,0.07080024892124293,-0.030640327309249163,0.6979480159928452,TRUE,TRUE,TRUE
436,prediction,GROSSCON,3,,,,,,,,,,,,,,
442,prediction,GROSSCON,1,,,,,,,,,,,,,,
443,prediction,GROSSCON,5,,,,,,,,,,,,,,
444,prediction,GROSSCON,2,,,,,,,,,,,,,,
445,prediction,GROSSCON,2,,,,,,,,,,,,,,
447,prediction,GROSSCON,2,,,,,,,,,,,,,,
450,prediction,GROSSCON,1,,,,,,,,,,,,,,
451,prediction,GROSSCON,1,,,,,,,,,,,,,,
452,prediction,GROSSCON,6,0.9678,0.9167792969169576,1,9.27908434703657,1.0231052389902369,-0.23615793085216916,1.323501019505952,0.1473639288293612,0.10812635076568029,-0.0392375780636809,0.7337368895130658,TRUE,TRUE,TRUE
455,prediction,GROSSCON,2,,,,,,,,,,,,,,
461,prediction,GROSSCON,4,,,,,,,,,,,,,,
466,prediction,GROSSCON,5,,,,,,,,,,,,,,
467,prediction,GROSSCON,4,,,,,,,,,,,,,,
468,prediction,GROSSCON,2,,,,,,,,,,,,,,
473,prediction,GROSSCON,1,,,,,,,,,,,,,,
474,prediction,GROSSCON,2,,,,,,,,,,,,,,
475,prediction,GROSSCON,2,,,,,,,,,,,,,,
482,prediction,GROSSCON,4,,,,,,,,,,,,,,
483,prediction,GROSSCON,1,,,,,,,,,,,,,,
484,prediction,GROSSCON,1,,,,,,,,,,,,,,
485,prediction,GROSSCON,3,,,,,,,,,,,,,,
486,prediction,GROSSCON,1,,,,,,,,,,,,,,
487,prediction,GROSSCON,1,,,,,,,,,,,,,,
489,prediction,GROSSCON,4,,,,,,,,,,,,,,
496,prediction,GROSSCON,1,,,,,,,,,,,,,,
498,prediction,GROSSCON,1,,,,,,,,,,,,,,
499,prediction,GROSSCON,3,,,,,,,,,,,,,,
500,prediction,GROSSCON,3,,,,,,,,,,,,,,
502,prediction,GROSSCON,7,0.986,0.8750274080120016,0.8598347107438018,11.270397119441744,1.0608236388953285,-0.0074649031155682435,1.0057316960583633,0.5659092243555869,0.5235234074126878,-0.04238581694289911,0.9251013853128746,TRUE,TRUE,TRUE
503,prediction,GROSSCON,3,,,,,,,,,,,,,,
504,prediction,GROSSCON,4,,,,,,,,,,,,,,
506,prediction,GROSSCON,15,0.9264,0.5487136309303664,0.513675568617429,21.50029044039988,1.0651317767893478,-0.28616370513397404,1.3003163339829493,0.20055731758327605,0.12160679652987412,-0.07895052105340193,0.6063443508082429,TRUE,FALSE,FALSE
510,prediction,GROSSCON,3,,,,,,,,,,,,,,
514,prediction,GROSSCON,1,,,,,,,,,,,,,,
515,prediction,GROSSCON,7,0.9722,0.941057456085866,0.8622448979591831,10.573562307036887,1.0160503104789462,-0.04922245467748188,1.0042479359694712,0.23133887285749058,0.2171465801632948,-0.01419229269419578,0.9386515006367369,TRUE,TRUE,TRUE
516,prediction,GROSSCON,6,0.981,0.9901924071911794,0.8889795918367347,6.616245474069958,1.0098927600410057,-0.038581047091454365,1.035413511284157,0.2598401778369963,0.2633299429819124,0.0034897651449161127,1.0134304293276204,TRUE,TRUE,TRUE
517,prediction,GROSSCON,13,0.9653,0.8320311158297209,0.5012522008378362,19.787034751157286,1.1027894191430718,-0.43426407738440426,1.3975248895429997,0.2316655339983983,0.14463531562729662,-0.08703021837110167,0.6243281559021059,TRUE,FALSE,FALSE
518,prediction,GROSSCON,3,,,,,,,,,,,,,,
519,prediction,GROSSCON,12,0.9683,0.8863998661823487,0.7244387191755614,10.897475529652693,1.057638211103771,-0.13148973461851127,1.2488039486042768,0.292857142857143,0.2294037289207571,-0.06345341393638587,0.7833298060708777,TRUE,TRUE,FALSE
520,prediction,GROSSCON,6,1.0046,0.8088744385096281,0.6865306122448979,6.934394062660326,1.0089391994944557,-0.18563153899729704,1.3717735731977636,0.09350825676486381,0.06327460415100535,-0.030233652613858464,0.6766739787494477,TRUE,TRUE,TRUE
521,prediction,GROSSCON,4,,,,,,,,,,,,,,
522,prediction,GROSSCON,3,,,,,,,,,,,,,,
523,prediction,GROSSCON,13,1.0437,0.9454034489373442,0.7787275398696012,9.704236799224935,1.0429508598389827,-0.05034293767345887,1.1535996037928908,0.3666040122854005,0.33111862436059086,-0.03548538792480965,0.9032051294158113,TRUE,TRUE,FALSE
525,prediction,GROSSCON,2,,,,,,,,,,,,,,
526,prediction,GROSSCON,2,,,,,,,,,,,,,,
527,prediction,GROSSCON,1,,,,,,,,,,,,,,
528,prediction,GROSSCON,8,1.0063,0.9979156745366403,0.9529478458049888,5.314878234614959,1.0157205299875254,-0.028177583225910664,1.055981640387483,0.35229559748427675,0.33967114236533336,-0.01262445511894339,0.96416516354705,TRUE,TRUE,TRUE
529,prediction,GROSSCON,4,,,,,,,,,,,,,,
530,prediction,GROSSCON,4,,,,,,,,,,,,,,
531,prediction,GROSSCON,4,,,,,,,,,,,,,,
532,prediction,GROSSCON,28,1.0273,0.9305004306868139,0.26591544323874733,14.877564733735746,1.0442889086110778,-0.15396399203802183,1.4843758477437967,0.2152928389228855,0.13013701676981398,-0.08515582215307152,0.6044651434803505,TRUE,TRUE,FALSE
537,prediction,GROSSCON,7,0.9755,0.9978792072875432,0.9298469387755098,6.3398361052698124,1.0154257203144537,-0.01486347359072372,1.04930705627052,0.46767680254029614,0.4547147156654385,-0.01296208687485767,0.9722840927656641,TRUE,TRUE,TRUE
539,prediction,GROSSCON,7,1.0059,0.9833074422431305,0.7346938775510199,4.538579919845026,1.012598408741771,-0.11985696535509963,1.2187644515214981,0.13935020143175944,0.11392080926978235,-0.025429392161977094,0.8175144929773926,TRUE,FALSE,TRUE
542,prediction,GROSSCON,7,0.9478,0.606552791999447,0.6870129870129869,12.615482213516463,1.024651046719389,-0.3857359574383389,1.4985639469389476,0.11855890084763564,0.06270429269025916,-0.05585460815737647,0.5288872639840237,TRUE,TRUE,TRUE
543,prediction,GROSSCON,1,,,,,,,,,,,,,,
545,prediction,GROSSCON,5,,,,,,,,,,,,,,
548,prediction,GROSSCON,22,0.9581,0.9077634123929444,0.6248728653238167,16.440912923716613,1.043239518034331,-0.07905951826064474,1.248513739934268,0.30023953750834925,0.24386924564551277,-0.056370291862836486,0.8122489385287276,TRUE,FALSE,FALSE
550,prediction,GROSSCON,5,,,,,,,,,,,,,,
551,prediction,GROSSCON,27,1.0453,0.7056107372215872,0.5445002749582903,16.851220609426747,1.0588192959216784,-0.12444015831417028,1.1389065783316732,0.25793085611808164,0.18772642703018375,-0.0702044290878979,0.7278168647811643,TRUE,FALSE,FALSE
552,prediction,GROSSCON,3,,,,,,,,,,,,,,
553,prediction,GROSSCON,1,,,,,,,,,,,,,,
555,prediction,GROSSCON,37,1.0001,0.7260079201448437,0.6638945666848792,17.093884350378246,1.0479248581985954,-0.11261637823716594,1.133428359569659,0.2131594782728902,0.1543052796304605,-0.05885419864242969,0.7238959340710921,TRUE,FALSE,FALSE
556,prediction,GROSSCON,13,0.9709,0.7602693798578696,0.7578167688664925,13.223823458784011,1.0449243715562677,-0.3518612537980114,1.6630696835377352,0.17303537915960077,0.09242760770205226,-0.08060777145754851,0.5341543917258724,TRUE,TRUE,FALSE
561,prediction,GROSSCON,40,0.9897,0.9496668734437402,0.8172282223112584,16.98823088168139,1.0557698859893163,-0.07376721572993221,1.1023785427287451,0.35068666936909026,0.301138542782871,-0.049548126586219265,0.8587111204558765,TRUE,FALSE,FALSE
562,prediction,GROSSCON,28,0.965,0.949034998675698,0.6626187382108356,15.770699809346986,1.0572370777593452,-0.12160074079326176,1.2619292312480328,0.3006067498695751,0.23188052074353038,-0.0687262291260447,0.7713749636165419,TRUE,FALSE,FALSE
563,prediction,GROSSCON,8,0.9833,0.9726249051676165,0.8622448979591839,14.692263492409587,1.0433714662850155,-0.05897656926796715,1.1544494514101122,0.3781651190430755,0.3511207562724128,-0.02704436277066269,0.9284853059978222,TRUE,TRUE,FALSE
564,prediction,GROSSCON,22,0.9857,0.9518333851838084,0.4474628770349762,10.749714516698555,1.0401487038109014,-0.06815985189647006,1.1383961850968518,0.32332008160966164,0.27570911737059395,-0.04761096423906769,0.8527435598740584,TRUE,TRUE,FALSE
566,prediction,GROSSCON,46,0.9408,0.8197110621706551,0.7452455728058105,24.485660062858884,1.0709648212424518,-0.2365618322789826,1.1690911707487206,0.25067210933526857,0.21022664825810336,-0.04044546107716521,0.8386519298679923,TRUE,FALSE,FALSE
567,prediction,GROSSCON,7,0.9681,0.9520374634241158,0.9999999999999996,5.92101575716219,0.9920135345614688,0.04201459202983194,1.063308518248446,0.1930867778583514,0.20131641852816276,0.008229640669811356,1.042621461506021,TRUE,TRUE,TRUE
